time_index,time_days,square_id,PRo
0,0.0,1,0.0
0,0.0,2,0.0
0,0.0,3,0.0
0,0.0,4,0.0
0,0.0,5,0.0
0,0.0,6,0.0
0,0.0,7,0.0
0,0.0,8,0.0
0,0.0,9,0.0
0,0.0,10,0.0
0,0.0,11,0.0
0,0.0,12,0.0
0,0.0,13,0.0
0,0.0,14,0.0
0,0.0,15,0.0
0,0.0,16,0.0
1,0.5,1,0.0
1,0.5,2,0.0
1,0.5,3,0.0
1,0.5,4,0.0
1,0.5,5,0.0
1,0.5,6,0.0
1,0.5,7,0.0
1,0.5,8,0.0
1,0.5,9,0.0
1,0.5,10,0.0
1,0.5,11,0.0
1,0.5,12,0.0
1,0.5,13,0.0
1,0.5,14,0.0
1,0.5,15,0.0
1,0.5,16,0.0
2,1.0,1,0.0
2,1.0,2,0.0
2,1.0,3,0.0
2,1.0,4,0.0
2,1.0,5,0.0
2,1.0,6,0.0
2,1.0,7,0.0
2,1.0,8,0.0
2,1.0,9,0.0
2,1.0,10,0.0
2,1.0,11,0.0
2,1.0,12,0.0
2,1.0,13,0.0
2,1.0,14,0.0
2,1.0,15,0.0
2,1.0,16,0.0
3,1.5,1,0.0
3,1.5,2,0.0
3,1.5,3,0.0
3,1.5,4,0.0
3,1.5,5,0.0
3,1.5,6,0.0
3,1.5,7,0.0
3,1.5,8,0.0
3,1.5,9,0.0
3,1.5,10,0.0
3,1.5,11,0.0
3,1.5,12,0.0
3,1.5,13,0.0001220703125
3,1.5,14,0.0
3,1.5,15,0.0
3,1.5,16,0.0
4,2.0,1,0.0
4,2.0,2,0.00030517578125
4,2.0,3,0.0
4,2.0,4,0.0
4,2.0,5,0.0
4,2.0,6,0.004150390625
4,2.0,7,0.0
4,2.0,8,0.0
4,2.0,9,0.0
4,2.0,10,0.0
4,2.0,11,0.0
4,2.0,12,0.0
4,2.0,13,0.0010986328125
4,2.0,14,0.0
4,2.0,15,0.0
4,2.0,16,0.0
5,2.5,1,0.0
5,2.5,2,0.0
5,2.5,3,0.0
5,2.5,4,0.0
5,2.5,5,0.0
5,2.5,6,0.0
5,2.5,7,0.0
5,2.5,8,0.0
5,2.5,9,0.0
5,2.5,10,0.0
5,2.5,11,0.0
5,2.5,12,0.0
5,2.5,13,0.0013427734375
5,2.5,14,0.0
5,2.5,15,0.0
5,2.5,16,0.0
6,3.0,1,0.0
6,3.0,2,0.00311279296875
6,3.0,3,0.0
6,3.0,4,0.0
6,3.0,5,0.0
6,3.0,6,0.00933837890625
6,3.0,7,0.0
6,3.0,8,0.0
6,3.0,9,0.0
6,3.0,10,0.0
6,3.0,11,0.0
6,3.0,12,0.0
6,3.0,13,0.01043701171875
6,3.0,14,0.0001220703125
6,3.0,15,0.0
6,3.0,16,0.0
7,3.5,1,0.0
7,3.5,2,0.0008544921875
7,3.5,3,0.0
7,3.5,4,0.0
7,3.5,5,0.0
7,3.5,6,0.00836181640625
7,3.5,7,0.0
7,3.5,8,0.0
7,3.5,9,0.0
7,3.5,10,0.0
7,3.5,11,0.0
7,3.5,12,0.0
7,3.5,13,0.00677490234375
7,3.5,14,0.00115966796875
7,3.5,15,0.0
7,3.5,16,0.0
8,4.0,1,0.0
8,4.0,2,0.00103759765625
8,4.0,3,0.00054931640625
8,4.0,4,0.0
8,4.0,5,0.0
8,4.0,6,0.0
8,4.0,7,0.0
8,4.0,8,0.0
8,4.0,9,0.0
8,4.0,10,0.00323486328125
8,4.0,11,0.0
8,4.0,12,0.0
8,4.0,13,0.01251220703125
8,4.0,14,0.000244140625
8,4.0,15,0.0003662109375
8,4.0,16,0.00347900390625
9,4.5,1,0.0
9,4.5,2,0.002197265625
9,4.5,3,0.00042724609375
9,4.5,4,0.0
9,4.5,5,0.0
9,4.5,6,0.00421142578125
9,4.5,7,0.0
9,4.5,8,0.0
9,4.5,9,0.0
9,4.5,10,0.0047607421875
9,4.5,11,0.0
9,4.5,12,0.0
9,4.5,13,0.007568359375
9,4.5,14,0.0076904296875
9,4.5,15,0.00738525390625
9,4.5,16,0.00335693359375
10,5.0,1,0.0
10,5.0,2,0.003173828125
10,5.0,3,0.0028076171875
10,5.0,4,0.0032958984375
10,5.0,5,0.00628662109375
10,5.0,6,0.0
10,5.0,7,0.0
10,5.0,8,0.0
10,5.0,9,0.00274658203125
10,5.0,10,0.01287841796875
10,5.0,11,0.0
10,5.0,12,0.0
10,5.0,13,0.01177978515625
10,5.0,14,0.00592041015625
10,5.0,15,0.00128173828125
10,5.0,16,0.00494384765625
11,5.5,1,0.0
11,5.5,2,0.0
11,5.5,3,0.00030517578125
11,5.5,4,0.0037841796875
11,5.5,5,0.01593017578125
11,5.5,6,0.00384521484375
11,5.5,7,0.0
11,5.5,8,0.00079345703125
11,5.5,9,0.0069580078125
11,5.5,10,0.0185546875
11,5.5,11,0.0
11,5.5,12,0.00067138671875
11,5.5,13,0.00732421875
11,5.5,14,0.00982666015625
11,5.5,15,0.0072021484375
11,5.5,16,0.00494384765625
12,6.0,1,0.0
12,6.0,2,0.0
12,6.0,3,0.00054931640625
12,6.0,4,0.00482177734375
12,6.0,5,0.0201416015625
12,6.0,6,0.00244140625
12,6.0,7,0.0
12,6.0,8,0.00531005859375
12,6.0,9,0.00537109375
12,6.0,10,0.0079345703125
12,6.0,11,0.0
12,6.0,12,0.0001220703125
12,6.0,13,0.00689697265625
12,6.0,14,0.01275634765625
12,6.0,15,0.008544921875
12,6.0,16,0.00140380859375
13,6.5,1,0.0
13,6.5,2,0.0
13,6.5,3,0.00128173828125
13,6.5,4,0.00830078125
13,6.5,5,0.02130126953125
13,6.5,6,0.0068359375
13,6.5,7,0.0
13,6.5,8,0.00152587890625
13,6.5,9,0.0137939453125
13,6.5,10,0.01153564453125
13,6.5,11,0.0
13,6.5,12,0.000732421875
13,6.5,13,0.0076904296875
13,6.5,14,0.012451171875
13,6.5,15,0.00372314453125
13,6.5,16,0.00732421875
14,7.0,1,0.00518798828125
14,7.0,2,0.0025634765625
14,7.0,3,0.0037841796875
14,7.0,4,0.0030517578125
14,7.0,5,0.03680419921875
14,7.0,6,0.007568359375
14,7.0,7,0.0
14,7.0,8,0.0078125
14,7.0,9,0.01177978515625
14,7.0,10,0.01092529296875
14,7.0,11,0.0
14,7.0,12,0.0
14,7.0,13,0.01837158203125
14,7.0,14,0.0130615234375
14,7.0,15,0.00390625
14,7.0,16,0.0035400390625
15,7.5,1,0.0
15,7.5,2,0.00250244140625
15,7.5,3,0.00238037109375
15,7.5,4,0.00335693359375
15,7.5,5,0.02801513671875
15,7.5,6,0.00506591796875
15,7.5,7,0.0
15,7.5,8,0.0047607421875
15,7.5,9,0.00848388671875
15,7.5,10,0.00262451171875
15,7.5,11,0.0
15,7.5,12,0.0020751953125
15,7.5,13,0.01373291015625
15,7.5,14,0.0150146484375
15,7.5,15,0.001220703125
15,7.5,16,0.0072021484375
16,8.0,1,0.0
16,8.0,2,0.00640869140625
16,8.0,3,0.0084228515625
16,8.0,4,0.0079345703125
16,8.0,5,0.035888671875
16,8.0,6,0.0037841796875
16,8.0,7,0.0
16,8.0,8,0.0166015625
16,8.0,9,0.0079345703125
16,8.0,10,0.0
16,8.0,11,0.0
16,8.0,12,0.0006103515625
16,8.0,13,0.02227783203125
16,8.0,14,0.01055908203125
16,8.0,15,0.00189208984375
16,8.0,16,0.01275634765625
17,8.5,1,0.0
17,8.5,2,0.00848388671875
17,8.5,3,0.00701904296875
17,8.5,4,0.00830078125
17,8.5,5,0.03204345703125
17,8.5,6,0.00640869140625
17,8.5,7,0.0
17,8.5,8,0.0106201171875
17,8.5,9,0.0067138671875
17,8.5,10,0.0
17,8.5,11,0.0
17,8.5,12,0.0
17,8.5,13,0.0274658203125
17,8.5,14,0.01068115234375
17,8.5,15,0.0025634765625
17,8.5,16,0.01898193359375
18,9.0,1,0.00250244140625
18,9.0,2,0.0068359375
18,9.0,3,0.00103759765625
18,9.0,4,0.0
18,9.0,5,0.02203369140625
18,9.0,6,0.0025634765625
18,9.0,7,0.0
18,9.0,8,0.014404296875
18,9.0,9,0.01617431640625
18,9.0,10,0.0
18,9.0,11,0.0
18,9.0,12,0.0018310546875
18,9.0,13,0.0362548828125
