TITLE="5runs_phase_avg_adim_subtracted_mean" 
Variables="x/c","y/c","z/c","u'/Udeb","v'/Udeb","w'/Udeb"
ZONE T="10", I=289, J=214, SOLUTIONTIME=0.200000
0.0 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.006668000000000091 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.01333600000000004 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.02000600000000006 -1.6506399999999999 0.7 0.0 -0.0 -0.0
0.026674000000000007 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.0333420000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.040010000000000046 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.046678 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.05334600000000009 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.06001400000000004 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.06668400000000005 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.073352 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.08002000000000009 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.08668800000000004 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.093356 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.10002400000000009 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.10669200000000004 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.11335999999999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.12003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.1266980000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.13336600000000004 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.140034 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.14670200000000008 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.15337000000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.16003799999999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.166708 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.17337600000000009 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.18004400000000004 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.186712 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.19338000000000008 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.20004800000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.20671599999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.213386 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.22005400000000008 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.22672200000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.23339 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.24005800000000008 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.24672600000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.25339399999999995 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.260064 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.2667320000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.27340000000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.280068 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.2867360000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.293404 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.30007199999999995 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.30674000000000007 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.31341 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.32007800000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.32674600000000004 -1.6506399999999999 0.7 0.0 -0.0 0.0
