time_index,time_days,square_id,PRo
14,7.0,1,0.00054931640625
14,7.0,2,0.0
14,7.0,3,0.0
14,7.0,4,0.0
14,7.0,5,0.03564453125
14,7.0,6,0.0
14,7.0,7,0.0
14,7.0,8,0.00274658203125
14,7.0,9,0.0
14,7.0,10,0.0
14,7.0,11,0.0
14,7.0,12,0.0
14,7.0,13,0.0
14,7.0,14,0.00433349609375
14,7.0,15,0.00067138671875
14,7.0,16,0.0
15,7.5,1,0.0
15,7.5,2,0.0
15,7.5,3,0.0
15,7.5,4,0.0
15,7.5,5,0.02154541015625
15,7.5,6,0.0
15,7.5,7,0.0
15,7.5,8,0.00048828125
15,7.5,9,0.0
15,7.5,10,0.0
15,7.5,11,0.0
15,7.5,12,0.0
15,7.5,13,0.0
15,7.5,14,0.00042724609375
15,7.5,15,0.0
15,7.5,16,0.0
16,8.0,1,0.0
16,8.0,2,0.0
16,8.0,3,0.0
16,8.0,4,0.0
16,8.0,5,0.020751953125
16,8.0,6,0.0
16,8.0,7,0.0
16,8.0,8,0.00445556640625
16,8.0,9,0.0
16,8.0,10,0.0
16,8.0,11,0.0
16,8.0,12,0.0
16,8.0,13,0.0010986328125
16,8.0,14,0.0001220703125
16,8.0,15,0.00018310546875
16,8.0,16,0.0
17,8.5,1,0.0
17,8.5,2,0.00091552734375
17,8.5,3,0.0
17,8.5,4,0.0
17,8.5,5,0.0191650390625
17,8.5,6,0.00152587890625
17,8.5,7,0.0
17,8.5,8,0.00390625
17,8.5,9,0.0
17,8.5,10,0.0
17,8.5,11,0.0
17,8.5,12,0.0
17,8.5,13,0.00885009765625
17,8.5,14,6.103515625e-05
17,8.5,15,6.103515625e-05
17,8.5,16,0.0
18,9.0,1,0.0
18,9.0,2,6.103515625e-05
18,9.0,3,0.0
18,9.0,4,0.0
18,9.0,5,0.01318359375
18,9.0,6,0.00030517578125
18,9.0,7,0.0
18,9.0,8,0.0032958984375
18,9.0,9,0.001953125
18,9.0,10,0.0
18,9.0,11,0.0
18,9.0,12,0.0
18,9.0,13,0.009033203125
18,9.0,14,0.0003662109375
18,9.0,15,0.0
18,9.0,16,0.0
19,9.5,1,0.0
19,9.5,2,0.0
19,9.5,3,0.0
19,9.5,4,0.0
19,9.5,5,0.0218505859375
19,9.5,6,0.0
19,9.5,7,0.0
19,9.5,8,0.009765625
19,9.5,9,0.0096435546875
19,9.5,10,0.0
19,9.5,11,0.0
19,9.5,12,0.0
19,9.5,13,0.02008056640625
19,9.5,14,0.0
19,9.5,15,0.0
19,9.5,16,0.0
20,10.0,1,0.0029296875
20,10.0,2,0.0
20,10.0,3,0.0
20,10.0,4,0.0
20,10.0,5,0.00457763671875
20,10.0,6,0.0
20,10.0,7,0.0
20,10.0,8,0.00067138671875
20,10.0,9,0.005126953125
20,10.0,10,0.0
20,10.0,11,0.0
20,10.0,12,0.0
20,10.0,13,0.00457763671875
20,10.0,14,0.0
20,10.0,15,0.0020751953125
20,10.0,16,0.0
21,10.5,1,0.0159912109375
21,10.5,2,0.0
21,10.5,3,0.0
21,10.5,4,0.0
21,10.5,5,0.00140380859375
21,10.5,6,0.0
21,10.5,7,0.0
21,10.5,8,0.00311279296875
21,10.5,9,0.0003662109375
21,10.5,10,0.0
21,10.5,11,0.0
21,10.5,12,0.0
21,10.5,13,0.0318603515625
21,10.5,14,0.00238037109375
21,10.5,15,0.0068359375
21,10.5,16,0.0
22,11.0,1,0.009765625
22,11.0,2,0.0
22,11.0,3,0.0
22,11.0,4,0.0
22,11.0,5,0.0
22,11.0,6,0.00164794921875
22,11.0,7,0.0
22,11.0,8,0.0
22,11.0,9,0.0
22,11.0,10,0.0
22,11.0,11,0.0
22,11.0,12,0.0
22,11.0,13,0.00677490234375
22,11.0,14,0.00054931640625
22,11.0,15,0.00738525390625
22,11.0,16,0.0
23,11.5,1,0.0120849609375
23,11.5,2,0.0
23,11.5,3,0.0
23,11.5,4,0.0
23,11.5,5,0.0
23,11.5,6,0.0
23,11.5,7,0.0
23,11.5,8,0.0
23,11.5,9,0.0
23,11.5,10,0.0
23,11.5,11,0.0
23,11.5,12,0.0
23,11.5,13,0.03326416015625
23,11.5,14,0.00579833984375
23,11.5,15,0.0098876953125
23,11.5,16,0.00018310546875
24,12.0,1,0.0260009765625
24,12.0,2,0.0
24,12.0,3,0.0
24,12.0,4,0.0
24,12.0,5,0.0
24,12.0,6,0.0
24,12.0,7,0.0
24,12.0,8,0.0
24,12.0,9,0.0
24,12.0,10,0.0
24,12.0,11,0.0
24,12.0,12,0.0
24,12.0,13,0.04022216796875
24,12.0,14,0.00604248046875
24,12.0,15,0.0079345703125
24,12.0,16,0.001953125
25,12.5,1,0.01727294921875
25,12.5,2,0.0
25,12.5,3,0.0
25,12.5,4,0.0
25,12.5,5,0.0
25,12.5,6,0.007080078125
25,12.5,7,0.0
25,12.5,8,0.0
25,12.5,9,0.0
25,12.5,10,0.0
25,12.5,11,0.0
25,12.5,12,0.0
25,12.5,13,0.02386474609375
25,12.5,14,0.0045166015625
25,12.5,15,0.014404296875
25,12.5,16,0.00994873046875
26,13.0,1,0.02392578125
26,13.0,2,0.0
26,13.0,3,0.0
26,13.0,4,0.0
26,13.0,5,0.0
26,13.0,6,0.0
26,13.0,7,0.0
26,13.0,8,0.0
26,13.0,9,0.0
26,13.0,10,0.0
26,13.0,11,0.0
26,13.0,12,0.0
26,13.0,13,0.01397705078125
26,13.0,14,0.0
26,13.0,15,0.01953125
26,13.0,16,0.01171875
27,13.5,1,0.04107666015625
27,13.5,2,0.0
27,13.5,3,0.0
27,13.5,4,0.0
27,13.5,5,0.0
27,13.5,6,0.02423095703125
27,13.5,7,0.0
27,13.5,8,0.0
27,13.5,9,0.0
27,13.5,10,0.0
27,13.5,11,0.0
27,13.5,12,0.0
27,13.5,13,0.003173828125
27,13.5,14,0.0
27,13.5,15,0.00634765625
27,13.5,16,0.01165771484375
